Client_Num,Card_Category,Annual_Fees,Week_Start_Date,Qtr,Total_Trans_Amt,Use Chip,Exp Type,Interest_Earned
708178608,Blue,300,1/1/2023,Q1,4226,Chip ,Grocery,253.56
708185208,Blue,110,1/1/2023,Q1,2010,Swipe ,Bills,180.9
708186933,Blue,195,1/1/2023,Q1,2254,Swipe ,Bills,270.48
708190158,Blue,175,1/1/2023,Q1,2750,Swipe ,Food,632.5
708193008,Blue,340,1/1/2023,Q1,1616,Online ,Entertainment,387.84
708195633,Silver,110,1/1/2023,Q1,2440,Online ,Entertainment,488
708197358,Blue,225,1/1/2023,Q1,7784,Online ,Food,622.72
708204033,Blue,295,1/1/2023,Q1,4132,Chip ,Travel,826.4
708205083,Blue,125,1/1/2023,Q1,4815,Chip ,Travel,337.05
708207783,Blue,355,1/1/2023,Q1,4680,Swipe ,Entertainment,514.8
708208758,Blue,275,1/1/2023,Q1,2199,Swipe ,Fuel,571.74
708211383,Blue,200,1/1/2023,Q1,3906,Online ,Fuel,1054.62
708212658,Blue,190,1/1/2023,Q1,1799,Swipe ,Bills,521.71
708216108,Blue,300,1/1/2023,Q1,2250,Swipe ,Bills,157.5
708217758,Blue,475,1/1/2023,Q1,1606,Swipe ,Bills,385.44
708219108,Blue,300,1/1/2023,Q1,7300,Swipe ,Grocery,803
708219858,Blue,390,1/1/2023,Q1,4295,Swipe ,Food,901.95
708222558,Blue,125,1/1/2023,Q1,4191,Chip ,Food,712.47
708223383,Blue,295,1/1/2023,Q1,2736,Chip ,Bills,793.44
708224133,Blue,430,1/1/2023,Q1,4431,Swipe ,Grocery,841.89
708225483,Blue,200,1/1/2023,Q1,4246,Swipe ,Entertainment,806.74
708226833,Gold,415,1/1/2023,Q1,13247,Swipe ,Food,1192.23
708229308,Blue,245,1/1/2023,Q1,6059,Swipe ,Fuel,727.08
708231183,Blue,460,1/1/2023,Q1,2643,Swipe ,Grocery,290.73
708234558,Blue,200,1/1/2023,Q1,4540,Chip ,Entertainment,635.6
708238833,Blue,365,1/1/2023,Q1,1387,Swipe ,Fuel,152.57
708241233,Blue,95,1/1/2023,Q1,922,Swipe ,Bills,138.3
708242283,Blue,295,1/1/2023,Q1,3253,Swipe ,Food,325.3
708243483,Blue,250,1/1/2023,Q1,2248,Swipe ,Bills,427.12
708244458,Blue,405,1/1/2023,Q1,3485,Swipe ,Food,383.35
708245808,Gold,455,1/1/2023,Q1,13908,Swipe ,Travel,2503.44
708248358,Silver,200,1/1/2023,Q1,14863,Online ,Bills,1932.19
708249708,Blue,300,1/1/2023,Q1,1489,Swipe ,Fuel,253.13
708252108,Blue,475,1/1/2023,Q1,4065,Chip ,Fuel,243.9
708253458,Blue,125,1/1/2023,Q1,4857,Swipe ,Food,1408.53
708254733,Blue,325,1/1/2023,Q1,5171,Swipe ,Fuel,1241.04
708255633,Blue,200,1/1/2023,Q1,3240,Swipe ,Fuel,550.8
708260208,Blue,150,1/1/2023,Q1,4321,Chip ,Food,1123.46
708266883,Blue,355,1/1/2023,Q1,2312,Swipe ,Food,184.96
708267858,Blue,140,1/1/2023,Q1,2098,Swipe ,Entertainment,482.54
708269583,Blue,335,1/1/2023,Q1,4014,Chip ,Entertainment,1003.5
708271833,Silver,195,1/1/2023,Q1,3464,Online ,Bills,831.36
708272808,Blue,150,1/1/2023,Q1,3542,Chip ,Fuel,566.72
708273858,Blue,355,1/1/2023,Q1,3734,Swipe ,Fuel,522.76
708276183,Blue,375,1/1/2023,Q1,1554,Swipe ,Bills,279.72
708281433,Blue,335,1/1/2023,Q1,3848,Swipe ,Food,269.36
708285108,Blue,420,1/1/2023,Q1,13505,Swipe ,Fuel,1620.6
708286683,Blue,250,1/1/2023,Q1,4884,Swipe ,Bills,1123.32
708288108,Blue,360,1/1/2023,Q1,647,Swipe ,Bills,135.87
708290208,Silver,355,1/1/2023,Q1,3118,Chip ,Entertainment,841.86
708291633,Blue,390,1/1/2023,Q1,5097,Swipe ,Entertainment,1223.28
708292833,Blue,150,1/1/2023,Q1,2754,Online ,Bills,247.86
708295533,Blue,250,1/1/2023,Q1,1215,Swipe ,Travel,230.85
708296883,Blue,280,1/1/2023,Q1,1178,Swipe ,Travel,259.16
708298233,Blue,125,1/1/2023,Q1,1756,Swipe ,Fuel,456.56
708300483,Blue,245,1/1/2023,Q1,704,Swipe ,Travel,197.12
708301683,Blue,125,1/1/2023,Q1,8038,Swipe ,Food,2009.5
708303108,Blue,175,1/1/2023,Q1,4940,Swipe ,Grocery,1037.4
708307533,Blue,345,1/1/2023,Q1,4129,Swipe ,Food,371.61
708313608,Blue,245,1/1/2023,Q1,2110,Swipe ,Food,274.3
708314808,Blue,100,1/1/2023,Q1,1570,Swipe ,Fuel,298.3
708316008,Blue,345,1/1/2023,Q1,1792,Swipe ,Fuel,394.24
708319908,Blue,300,1/1/2023,Q1,8667,Online ,Travel,1820.07
708323208,Blue,290,1/1/2023,Q1,2241,Swipe ,Food,403.38
708324483,Blue,290,1/1/2023,Q1,4420,Chip ,Bills,707.2
708330858,Blue,250,1/1/2023,Q1,678,Swipe ,Travel,122.04
708331758,Silver,250,1/1/2023,Q1,3725,Swipe ,Fuel,409.75
708332808,Blue,470,1/1/2023,Q1,14381,Swipe ,Fuel,3163.82
708334158,Blue,200,1/1/2023,Q1,3068,Chip ,Entertainment,306.8
708337683,Blue,465,1/1/2023,Q1,3820,Chip ,Entertainment,573
708338958,Blue,200,1/1/2023,Q1,3797,Chip ,Bills,341.73
708340758,Blue,300,1/1/2023,Q1,8109,Chip ,Grocery,1054.17
708341958,Blue,175,1/1/2023,Q1,4480,Swipe ,Food,716.8
708344358,Blue,125,1/1/2023,Q1,1311,Swipe ,Travel,249.09
708347583,Blue,465,1/1/2023,Q1,1804,Swipe ,Grocery,378.84
708354858,Blue,200,1/1/2023,Q1,8192,Swipe ,Bills,491.52
708355683,Blue,285,1/1/2023,Q1,2976,Swipe ,Fuel,624.96
708357183,Blue,300,1/1/2023,Q1,3511,Chip ,Fuel,702.2
708358683,Silver,100,1/1/2023,Q1,1665,Swipe ,Bills,449.55
708360108,Blue,245,1/1/2023,Q1,4869,Chip ,Grocery,779.04
708361833,Blue,460,1/1/2023,Q1,3650,Swipe ,Fuel,511
708367908,Blue,190,1/1/2023,Q1,4390,Chip ,Bills,614.6
708369633,Gold,250,1/1/2023,Q1,7031,Swipe ,Bills,1054.65
708371733,Blue,300,1/1/2023,Q1,4931,Swipe ,Fuel,1084.82
708373083,Blue,175,1/1/2023,Q1,2032,Swipe ,Fuel,467.36
708375858,Blue,405,1/1/2023,Q1,4318,Swipe ,Grocery,302.26
708376983,Blue,485,1/1/2023,Q1,2119,Swipe ,Food,127.14
708378108,Blue,245,1/1/2023,Q1,4631,Chip ,Bills,787.27
708382083,Blue,245,1/1/2023,Q1,2584,Swipe ,Bills,335.92
708384033,Blue,420,1/1/2023,Q1,2466,Swipe ,Food,345.24
708385533,Silver,335,1/1/2023,Q1,9524,Chip ,Grocery,1523.84
708386958,Blue,245,1/1/2023,Q1,1947,Swipe ,Bills,175.23
708387933,Blue,195,1/1/2023,Q1,14357,Swipe ,Bills,1435.7
708390633,Blue,475,1/1/2023,Q1,4219,Chip ,Bills,295.33
708393633,Blue,190,1/1/2023,Q1,4625,Chip ,Fuel,370
708394908,Blue,365,1/1/2023,Q1,3945,Chip ,Entertainment,276.15
708396033,Blue,175,1/1/2023,Q1,12257,Swipe ,Bills,3064.25
708397008,Blue,200,1/1/2023,Q1,4326,Swipe ,Food,865.2
708398283,Blue,125,1/1/2023,Q1,1377,Swipe ,Bills,275.4
708399858,Blue,415,1/1/2023,Q1,4747,Swipe ,Entertainment,712.05
708402333,Blue,395,1/1/2023,Q1,4782,Chip ,Fuel,1243.32
708403308,Silver,425,1/1/2023,Q1,4392,Chip ,Bills,570.96
708404883,Blue,370,1/1/2023,Q1,2761,Chip ,Entertainment,745.47
708406083,Blue,380,1/1/2023,Q1,5211,Online ,Bills,1094.31
708412758,Blue,140,1/1/2023,Q1,2200,Chip ,Food,374
708414033,Blue,245,1/1/2023,Q1,3730,Swipe ,Fuel,634.1
708416433,Blue,125,1/1/2023,Q1,2499,Swipe ,Grocery,449.82
708419733,Blue,365,1/1/2023,Q1,4739,Swipe ,Food,1374.31
708421833,Blue,390,1/1/2023,Q1,1139,Online ,Bills,193.63
708423933,Blue,450,1/1/2023,Q1,3203,Swipe ,Bills,288.27
708426483,Blue,455,1/1/2023,Q1,3534,Swipe ,Entertainment,530.1
708427908,Blue,395,1/1/2023,Q1,4643,Chip ,Fuel,325.01
708428958,Gold,345,1/1/2023,Q1,9179,Swipe ,Bills,2019.38
708431433,Blue,225,1/1/2023,Q1,1463,Swipe ,Bills,365.75
708433683,Blue,125,1/1/2023,Q1,4410,Online ,Entertainment,1146.6
708434733,Blue,385,1/1/2023,Q1,1249,Swipe ,Grocery,262.29
708438033,Blue,175,1/1/2023,Q1,2617,Swipe ,Entertainment,575.74
708442158,Blue,275,1/1/2023,Q1,3801,Chip ,Bills,988.26
708445608,Blue,490,1/1/2023,Q1,2027,Swipe ,Entertainment,222.97
708446808,Blue,250,1/1/2023,Q1,2017,Swipe ,Bills,564.76
708447858,Blue,385,1/1/2023,Q1,15107,Chip ,Entertainment,2417.12
708450033,Blue,465,1/1/2023,Q1,5298,Swipe ,Fuel,370.86
708451233,Blue,410,1/1/2023,Q1,3707,Swipe ,Fuel,593.12
708453408,Blue,355,1/1/2023,Q1,3721,Swipe ,Bills,893.04
708455883,Blue,175,1/1/2023,Q1,1127,Swipe ,Bills,202.86
708459633,Blue,380,1/1/2023,Q1,1604,Swipe ,Entertainment,352.88
708462258,Silver,270,1/1/2023,Q1,16563,Chip ,Travel,1821.93
708469533,Blue,250,1/1/2023,Q1,3523,Chip ,Fuel,493.22
708472008,Blue,325,1/1/2023,Q1,7632,Swipe ,Bills,1984.32
708473133,Blue,150,1/1/2023,Q1,4588,Chip ,Fuel,1284.64
708474333,Blue,465,1/1/2023,Q1,7906,Online ,Bills,790.6
708476808,Blue,320,1/1/2023,Q1,1047,Swipe ,Bills,188.46
708478233,Blue,395,1/1/2023,Q1,4348,Swipe ,Fuel,869.6
708480333,Blue,460,1/1/2023,Q1,2229,Swipe ,Bills,534.96
708482658,Silver,125,1/1/2023,Q1,15594,Chip ,Travel,2495.04
708483708,Blue,250,1/1/2023,Q1,4336,Swipe ,Travel,1214.08
708486033,Blue,395,1/1/2023,Q1,1782,Swipe ,Entertainment,267.3
708488208,Blue,125,1/1/2023,Q1,2231,Swipe ,Bills,267.72
708489258,Blue,250,1/1/2023,Q1,3561,Chip ,Bills,249.27
708491508,Blue,465,1/1/2023,Q1,3856,Chip ,Grocery,964
708492558,Blue,95,1/1/2023,Q1,1107,Swipe ,Bills,77.49
708494583,Blue,375,1/1/2023,Q1,3731,Swipe ,Fuel,559.65
708496833,Blue,150,1/1/2023,Q1,8970,Chip ,Grocery,627.9
708498033,Blue,335,1/1/2023,Q1,2789,Swipe ,Grocery,753.03
708499608,Silver,220,1/1/2023,Q1,4042,Chip ,Food,970.08
708500883,Silver,350,1/1/2023,Q1,8379,Swipe ,Fuel,1424.43
708501783,Blue,315,1/1/2023,Q1,1868,Chip ,Bills,504.36
708502908,Silver,455,1/1/2023,Q1,3925,Swipe ,Fuel,785
708504783,Blue,350,1/1/2023,Q1,3480,Chip ,Food,939.6
708506508,Blue,430,1/1/2023,Q1,4887,Swipe ,Entertainment,439.83
708507483,Blue,455,8/1/2023,Q1,4802,Chip ,Grocery,768.32
708508758,Blue,375,8/1/2023,Q1,692,Swipe ,Bills,76.12
708510858,Blue,300,8/1/2023,Q1,15478,Swipe ,Food,3714.72
708511983,Blue,415,8/1/2023,Q1,3950,Chip ,Fuel,276.5
708513183,Blue,100,8/1/2023,Q1,3078,Swipe ,Bills,430.92
708514383,Blue,420,8/1/2023,Q1,4314,Swipe ,Food,301.98
708515358,Blue,190,8/1/2023,Q1,4216,Chip ,Entertainment,505.92
708516558,Blue,395,8/1/2023,Q1,4159,Swipe ,Grocery,415.9
708519108,Blue,300,8/1/2023,Q1,2041,Swipe ,Entertainment,571.48
708522033,Blue,480,8/1/2023,Q1,15060,Chip ,Fuel,2108.4
708525108,Blue,175,8/1/2023,Q1,4120,Swipe ,Food,329.6
708528483,Blue,435,8/1/2023,Q1,1387,Swipe ,Bills,124.83
708532308,Blue,245,8/1/2023,Q1,3000,Swipe ,Grocery,750
708534033,Blue,225,8/1/2023,Q1,4726,Swipe ,Entertainment,1276.02
708535158,Blue,245,8/1/2023,Q1,8505,Swipe ,Entertainment,2466.45
708536283,Blue,190,8/1/2023,Q1,2653,Swipe ,Entertainment,583.66
708538608,Blue,125,8/1/2023,Q1,4058,Chip ,Fuel,243.48
708539583,Blue,395,8/1/2023,Q1,3979,Chip ,Entertainment,1034.54
708542283,Blue,200,8/1/2023,Q1,4399,Swipe ,Entertainment,659.85
708543258,Blue,95,8/1/2023,Q1,2045,Swipe ,Bills,388.55
708545058,Blue,150,8/1/2023,Q1,5136,Swipe ,Entertainment,1027.2
708549033,Blue,440,8/1/2023,Q1,5025,Online ,Bills,753.75
708551508,Blue,450,8/1/2023,Q1,4966,Swipe ,Bills,744.9
708553008,Blue,425,8/1/2023,Q1,4711,Swipe ,Food,1366.19
708555633,Silver,300,8/1/2023,Q1,15157,Swipe ,Bills,1212.56
708557358,Blue,250,8/1/2023,Q1,1911,Swipe ,Bills,305.76
708558408,Blue,470,8/1/2023,Q1,3776,Chip ,Grocery,792.96
708559533,Blue,460,8/1/2023,Q1,4442,Chip ,Bills,310.94
708560733,Blue,460,8/1/2023,Q1,4715,Chip ,Bills,1037.3
708563433,Blue,140,8/1/2023,Q1,1616,Swipe ,Travel,177.76
708564858,Gold,390,8/1/2023,Q1,9338,Chip ,Travel,2241.12
708568983,Blue,495,8/1/2023,Q1,8110,Swipe ,Fuel,2108.6
708572658,Silver,250,8/1/2023,Q1,15039,Swipe ,Grocery,2406.24
708573933,Silver,385,8/1/2023,Q1,14747,Swipe ,Food,3981.69
708575058,Blue,395,8/1/2023,Q1,3300,Online ,Bills,759
708577308,Blue,455,8/1/2023,Q1,1569,Swipe ,Travel,156.9
708579633,Gold,275,8/1/2023,Q1,1421,Swipe ,Bills,85.26
708580908,Blue,245,8/1/2023,Q1,1373,Swipe ,Bills,356.98
708582858,Blue,125,8/1/2023,Q1,2958,Swipe ,Entertainment,266.22
708584208,Blue,395,8/1/2023,Q1,2367,Chip ,Fuel,639.09
708585933,Blue,125,8/1/2023,Q1,4258,Chip ,Bills,298.06
708588408,Blue,110,8/1/2023,Q1,4421,Chip ,Food,707.36
708590658,Blue,470,8/1/2023,Q1,1619,Swipe ,Bills,307.61
708593883,Blue,370,8/1/2023,Q1,1813,Online ,Food,290.08
708595158,Blue,150,8/1/2023,Q1,2389,Swipe ,Entertainment,430.02
708596283,Blue,200,8/1/2023,Q1,2844,Swipe ,Grocery,170.64
708597558,Blue,390,8/1/2023,Q1,3951,Swipe ,Bills,671.67
708600033,Blue,340,8/1/2023,Q1,4958,Online ,Grocery,842.86
708602283,Blue,420,8/1/2023,Q1,3941,Swipe ,Entertainment,669.97
708606633,Blue,465,8/1/2023,Q1,1902,Swipe ,Bills,114.12
708611733,Blue,415,8/1/2023,Q1,4659,Swipe ,Bills,372.72
708614058,Blue,500,8/1/2023,Q1,3870,Chip ,Grocery,580.5
708615183,Blue,345,8/1/2023,Q1,4558,Chip ,Fuel,319.06
708618933,Blue,100,8/1/2023,Q1,3259,Swipe ,Fuel,358.49
708620283,Blue,125,8/1/2023,Q1,2208,Swipe ,Bills,441.6
708621408,Blue,245,8/1/2023,Q1,4173,Chip ,Food,1001.52
708623283,Blue,150,8/1/2023,Q1,2084,Swipe ,Bills,395.96
708626058,Blue,475,8/1/2023,Q1,4098,Swipe ,Fuel,1147.44
708633783,Blue,245,8/1/2023,Q1,1809,Swipe ,Bills,452.25
708635058,Blue,245,8/1/2023,Q1,4798,Chip ,Bills,527.78
708637758,Blue,175,8/1/2023,Q1,3523,Swipe ,Bills,457.99
708642708,Blue,475,8/1/2023,Q1,1484,Chip ,Food,326.48
708644208,Blue,250,8/1/2023,Q1,3355,Swipe ,Fuel,436.15
708646233,Blue,450,8/1/2023,Q1,3632,Swipe ,Grocery,726.4
708649683,Gold,345,8/1/2023,Q1,15472,Swipe ,Food,4486.88
708651933,Blue,350,8/1/2023,Q1,2311,Swipe ,Bills,462.2
708652908,Blue,250,8/1/2023,Q1,4498,Swipe ,Entertainment,809.64
708653958,Blue,225,8/1/2023,Q1,2608,Swipe ,Entertainment,443.36
708654933,Platinum,480,8/1/2023,Q1,2021,Swipe ,Grocery,202.1
708655983,Blue,125,8/1/2023,Q1,1353,Swipe ,Entertainment,392.37
708657033,Blue,465,8/1/2023,Q1,3837,Chip ,Grocery,345.33
708660408,Blue,480,8/1/2023,Q1,2459,Swipe ,Grocery,516.39
708662583,Silver,300,8/1/2023,Q1,8345,Swipe ,Food,917.95
708664008,Blue,455,8/1/2023,Q1,1222,Swipe ,Fuel,73.32
708665133,Blue,220,8/1/2023,Q1,4003,Online ,Grocery,640.48
708666258,Blue,125,8/1/2023,Q1,1402,Swipe ,Travel,364.52
708668283,Blue,290,8/1/2023,Q1,1842,Swipe ,Bills,147.36
708669408,Blue,225,8/1/2023,Q1,4637,Swipe ,Fuel,1205.62
708670608,Blue,125,8/1/2023,Q1,5125,Chip ,Bills,1178.75
708671733,Blue,415,8/1/2023,Q1,4091,Swipe ,Grocery,450.01
708672708,Blue,125,8/1/2023,Q1,3990,Swipe ,Food,598.5
708679383,Blue,250,8/1/2023,Q1,1775,Swipe ,Bills,301.75
708680583,Blue,495,8/1/2023,Q1,4940,Swipe ,Travel,1235
708681708,Blue,275,8/1/2023,Q1,1977,Chip ,Food,553.56
708682908,Blue,125,8/1/2023,Q1,8644,Swipe ,Fuel,1296.6
708684108,Blue,250,8/1/2023,Q1,2218,Swipe ,Travel,598.86
708687483,Silver,250,8/1/2023,Q1,1711,Chip ,Food,222.43
708688608,Blue,405,8/1/2023,Q1,1626,Swipe ,Travel,162.6
708689958,Blue,435,8/1/2023,Q1,4748,Swipe ,Travel,1187
708692583,Blue,150,8/1/2023,Q1,2312,Chip ,Grocery,647.36
708693558,Silver,485,8/1/2023,Q1,7344,Swipe ,Entertainment,4129.76
708694983,Blue,385,8/1/2023,Q1,14750,Chip ,Travel,3982.5
708697983,Blue,100,8/1/2023,Q1,8766,Online ,Bills,1753.2
708699108,Blue,125,8/1/2023,Q1,4890,Swipe ,Grocery,440.1
708701358,Blue,445,8/1/2023,Q1,4000,Chip ,Fuel,1120
708702258,Blue,200,8/1/2023,Q1,2051,Online ,Bills,471.73
708703308,Blue,110,8/1/2023,Q1,2183,Swipe ,Entertainment,480.26
708704433,Blue,200,8/1/2023,Q1,2812,Swipe ,Fuel,731.12
708705783,Blue,270,8/1/2023,Q1,2628,Online ,Bills,341.64
708706833,Blue,110,8/1/2023,Q1,2466,Chip ,Grocery,320.58
708707808,Blue,300,8/1/2023,Q1,3438,Swipe ,Bills,756.36
708708858,Blue,190,8/1/2023,Q1,2548,Chip ,Bills,662.48
708710283,Silver,200,8/1/2023,Q1,4067,Swipe ,Bills,447.37
708711483,Blue,425,8/1/2023,Q1,1516,Swipe ,Travel,242.56
708712833,Blue,385,8/1/2023,Q1,4483,Swipe ,Travel,1210.41
708714108,Silver,475,8/1/2023,Q1,1894,Swipe ,Entertainment,227.28
708720558,Blue,245,8/1/2023,Q1,3773,Online ,Bills,943.25
708721533,Gold,200,8/1/2023,Q1,13113,Chip ,Bills,2491.47
708722583,Blue,465,8/1/2023,Q1,3024,Swipe ,Grocery,574.56
708723858,Blue,245,8/1/2023,Q1,3843,Swipe ,Bills,807.03
708724908,Blue,430,8/1/2023,Q1,4113,Chip ,Entertainment,246.78
708726708,Blue,245,8/1/2023,Q1,2192,Swipe ,Fuel,569.92
708727983,Blue,250,8/1/2023,Q1,3048,Swipe ,Travel,213.36
708731658,Blue,175,8/1/2023,Q1,1587,Chip ,Grocery,142.83
708733983,Blue,110,8/1/2023,Q1,2122,Online ,Fuel,594.16
708735183,Blue,175,8/1/2023,Q1,2289,Swipe ,Bills,503.58
708736608,Blue,465,8/1/2023,Q1,2108,Swipe ,Bills,379.44
708740808,Blue,280,8/1/2023,Q1,2949,Swipe ,Bills,235.92
708741633,Blue,150,8/1/2023,Q1,1771,Swipe ,Bills,141.68
708744933,Blue,400,8/1/2023,Q1,1859,Swipe ,Travel,316.03
708745983,Blue,200,8/1/2023,Q1,4686,Swipe ,Entertainment,890.34
708747708,Blue,250,8/1/2023,Q1,2512,Swipe ,Bills,602.88
708748833,Blue,200,8/1/2023,Q1,8920,Swipe ,Bills,2586.8
708753633,Blue,125,8/1/2023,Q1,4462,Swipe ,Fuel,356.96
708754833,Blue,250,8/1/2023,Q1,4583,Chip ,Bills,366.64
708757233,Blue,150,8/1/2023,Q1,3697,Swipe ,Fuel,702.43
708758658,Blue,300,8/1/2023,Q1,3951,Swipe ,Entertainment,711.18
708759408,Blue,280,8/1/2023,Q1,15124,Chip ,Travel,1814.88
708760458,Blue,335,8/1/2023,Q1,3692,Swipe ,Bills,479.96
708761733,Blue,200,8/1/2023,Q1,4419,Swipe ,Food,883.8
708765933,Blue,200,8/1/2023,Q1,4866,Swipe ,Fuel,583.92
708768258,Blue,195,8/1/2023,Q1,4678,Swipe ,Grocery,1169.5
708770883,Gold,340,8/1/2023,Q1,15301,Swipe ,Food,918.06
708772308,Silver,415,8/1/2023,Q1,1455,Swipe ,Bills,87.3
708773583,Blue,335,8/1/2023,Q1,3987,Chip ,Travel,797.4
708774708,Blue,340,8/1/2023,Q1,3858,Chip ,Food,424.38
708776658,Blue,450,8/1/2023,Q1,4444,Chip ,Bills,488.84
708780783,Blue,175,8/1/2023,Q1,4739,Swipe ,Entertainment,710.85
708784083,Blue,285,8/1/2023,Q1,4307,Swipe ,Fuel,818.33
708784908,Blue,360,8/1/2023,Q1,4435,Swipe ,Entertainment,975.7
708788583,Blue,175,8/1/2023,Q1,1648,Swipe ,Fuel,412
708790833,Blue,245,8/1/2023,Q1,1201,Swipe ,Bills,216.18
708793008,Blue,125,8/1/2023,Q1,2207,Swipe ,Entertainment,617.96
708794133,Blue,195,8/1/2023,Q1,3197,Chip ,Entertainment,287.73
708796458,Blue,150,8/1/2023,Q1,3016,Swipe ,Entertainment,633.36
708797583,Blue,470,8/1/2023,Q1,2576,Chip ,Bills,231.84
708798483,Blue,300,8/1/2023,Q1,2567,Chip ,Entertainment,385.05
708799983,Blue,325,8/1/2023,Q1,1698,Swipe ,Bills,322.62
708801108,Blue,350,8/1/2023,Q1,2113,Chip ,Bills,232.43
708804633,Blue,200,8/1/2023,Q1,2888,Chip ,Bills,202.16
708805908,Silver,435,8/1/2023,Q1,9299,Swipe ,Bills,1487.84
708807483,Blue,430,8/1/2023,Q1,3837,Chip ,Fuel,1112.73
708809283,Blue,460,8/1/2023,Q1,2414,Chip ,Bills,386.24
708811233,Blue,100,8/1/2023,Q1,1992,Swipe ,Fuel,577.68
708812133,Blue,465,8/1/2023,Q1,4110,Chip ,Food,986.4
708813033,Silver,445,8/1/2023,Q1,1409,Swipe ,Bills,239.53
708816408,Blue,415,8/1/2023,Q1,3063,Swipe ,Bills,735.12
708817608,Blue,195,8/1/2023,Q1,4218,Swipe ,Bills,506.16
708818508,Blue,435,8/1/2023,Q1,4386,Swipe ,Grocery,570.18
708820308,Blue,175,8/1/2023,Q1,1326,Swipe ,Bills,371.28
708821733,Silver,175,8/1/2023,Q1,8301,Chip ,Travel,1328.16
708822783,Blue,300,8/1/2023,Q1,4862,Swipe ,Entertainment,777.92
708823908,Blue,420,8/1/2023,Q1,4252,Swipe ,Fuel,1105.52
708824958,Blue,250,8/1/2023,Q1,4265,Swipe ,Fuel,682.4
708826158,Blue,490,8/1/2023,Q1,8608,Swipe ,Food,1119.04
708828258,Blue,200,8/1/2023,Q1,1327,Swipe ,Travel,225.59
708829758,Blue,245,8/1/2023,Q1,3877,Swipe ,Bills,542.78
708831858,Blue,175,8/1/2023,Q1,1915,Online ,Food,555.35
